曜日,方向,駅名,発車時刻
平日,栄町方面,福住,19:48
平日,栄町方面,福住,19:56
平日,栄町方面,福住,20:04
平日,栄町方面,福住,20:12
平日,栄町方面,福住,20:20
平日,栄町方面,福住,20:28
平日,栄町方面,福住,20:36
平日,栄町方面,福住,20:44
平日,栄町方面,福住,20:52
平日,栄町方面,福住,21:00
平日,栄町方面,福住,21:08
平日,栄町方面,福住,21:16
平日,栄町方面,福住,21:24
平日,栄町方面,福住,21:32
平日,栄町方面,福住,21:40
平日,栄町方面,福住,21:48
平日,栄町方面,福住,21:56
平日,栄町方面,福住,22:04
平日,栄町方面,福住,22:12
平日,栄町方面,福住,22:21
平日,栄町方面,福住,22:30
平日,栄町方面,福住,22:40
平日,栄町方面,福住,22:50
平日,栄町方面,福住,23:00
平日,栄町方面,福住,23:10
平日,栄町方面,福住,23:20
平日,栄町方面,福住,23:30
平日,栄町方面,福住,23:40
平日,栄町方面,福住,23:50
平日,栄町方面,福住,00:00
土日祝,栄町方面,福住,06:00
土日祝,栄町方面,福住,06:10
土日祝,栄町方面,福住,06:19
土日祝,栄町方面,福住,06:29
土日祝,栄町方面,福住,06:37
土日祝,栄町方面,福住,06:46
土日祝,栄町方面,福住,06:54
土日祝,栄町方面,福住,07:02
土日祝,栄町方面,福住,07:10
土日祝,栄町方面,福住,07:18
土日祝,栄町方面,福住,07:25
土日祝,栄町方面,福住,07:31
土日祝,栄町方面,福住,07:37
土日祝,栄町方面,福住,07:43
土日祝,栄町方面,福住,07:49
土日祝,栄町方面,福住,07:55
土日祝,栄町方面,福住,08:01
土日祝,栄町方面,福住,08:07
土日祝,栄町方面,福住,08:13
土日祝,栄町方面,福住,08:20
土日祝,栄町方面,福住,08:28
土日祝,栄町方面,福住,08:35
土日祝,栄町方面,福住,08:43
土日祝,栄町方面,福住,08:50
土日祝,栄町方面,福住,08:58
土日祝,栄町方面,福住,09:05
土日祝,栄町方面,福住,09:13
土日祝,栄町方面,福住,09:20
土日祝,栄町方面,福住,09:28
土日祝,栄町方面,福住,09:35
土日祝,栄町方面,福住,09:43
土日祝,栄町方面,福住,09:50
土日祝,栄町方面,福住,09:58
土日祝,栄町方面,福住,10:05
土日祝,栄町方面,福住,10:13
土日祝,栄町方面,福住,10:20
土日祝,栄町方面,福住,10:28
土日祝,栄町方面,福住,10:35
土日祝,栄町方面,福住,10:43
土日祝,栄町方面,福住,10:50
土日祝,栄町方面,福住,10:58
土日祝,栄町方面,福住,11:05
土日祝,栄町方面,福住,11:13
土日祝,栄町方面,福住,11:20
土日祝,栄町方面,福住,11:28
土日祝,栄町方面,福住,11:35
土日祝,栄町方面,福住,11:43
土日祝,栄町方面,福住,11:50
土日祝,栄町方面,福住,11:58
土日祝,栄町方面,福住,12:05
土日祝,栄町方面,福住,12:13
土日祝,栄町方面,福住,12:20
土日祝,栄町方面,福住,12:28
土日祝,栄町方面,福住,12:35
土日祝,栄町方面,福住,12:43
土日祝,栄町方面,福住,12:50
土日祝,栄町方面,福住,12:58
土日祝,栄町方面,福住,13:05
土日祝,栄町方面,福住,13:13
土日祝,栄町方面,福住,13:20
土日祝,栄町方面,福住,13:28
土日祝,栄町方面,福住,13:35
土日祝,栄町方面,福住,13:43
