曜日,方向,駅名,発車時刻
土日祝,福住方面,美園,12:11
土日祝,福住方面,美園,12:19
土日祝,福住方面,美園,12:26
土日祝,福住方面,美園,12:34
土日祝,福住方面,美園,12:41
土日祝,福住方面,美園,12:49
土日祝,福住方面,美園,12:56
土日祝,福住方面,美園,13:04
土日祝,福住方面,美園,13:11
土日祝,福住方面,美園,13:19
土日祝,福住方面,美園,13:26
土日祝,福住方面,美園,13:34
土日祝,福住方面,美園,13:41
土日祝,福住方面,美園,13:49
土日祝,福住方面,美園,13:56
土日祝,福住方面,美園,14:04
土日祝,福住方面,美園,14:11
土日祝,福住方面,美園,14:19
土日祝,福住方面,美園,14:26
土日祝,福住方面,美園,14:34
土日祝,福住方面,美園,14:41
土日祝,福住方面,美園,14:49
土日祝,福住方面,美園,14:56
土日祝,福住方面,美園,15:04
土日祝,福住方面,美園,15:11
土日祝,福住方面,美園,15:19
土日祝,福住方面,美園,15:26
土日祝,福住方面,美園,15:34
土日祝,福住方面,美園,15:41
土日祝,福住方面,美園,15:49
土日祝,福住方面,美園,15:56
土日祝,福住方面,美園,16:04
土日祝,福住方面,美園,16:11
土日祝,福住方面,美園,16:19
土日祝,福住方面,美園,16:26
土日祝,福住方面,美園,16:34
土日祝,福住方面,美園,16:41
土日祝,福住方面,美園,16:49
土日祝,福住方面,美園,16:56
土日祝,福住方面,美園,17:04
土日祝,福住方面,美園,17:11
土日祝,福住方面,美園,17:19
土日祝,福住方面,美園,17:26
土日祝,福住方面,美園,17:34
土日祝,福住方面,美園,17:41
土日祝,福住方面,美園,17:49
土日祝,福住方面,美園,17:56
土日祝,福住方面,美園,18:04
土日祝,福住方面,美園,18:11
土日祝,福住方面,美園,18:19
土日祝,福住方面,美園,18:26
土日祝,福住方面,美園,18:34
土日祝,福住方面,美園,18:41
土日祝,福住方面,美園,18:49
土日祝,福住方面,美園,18:56
土日祝,福住方面,美園,19:04
土日祝,福住方面,美園,19:11
土日祝,福住方面,美園,19:19
土日祝,福住方面,美園,19:26
土日祝,福住方面,美園,19:34
土日祝,福住方面,美園,19:42
土日祝,福住方面,美園,19:50
土日祝,福住方面,美園,19:58
土日祝,福住方面,美園,20:06
土日祝,福住方面,美園,20:14
土日祝,福住方面,美園,20:22
土日祝,福住方面,美園,20:30
土日祝,福住方面,美園,20:38
土日祝,福住方面,美園,20:46
土日祝,福住方面,美園,20:54
土日祝,福住方面,美園,21:02
土日祝,福住方面,美園,21:10
土日祝,福住方面,美園,21:18
土日祝,福住方面,美園,21:26
土日祝,福住方面,美園,21:34
土日祝,福住方面,美園,21:42
土日祝,福住方面,美園,21:50
土日祝,福住方面,美園,21:58
土日祝,福住方面,美園,22:06
土日祝,福住方面,美園,22:14
土日祝,福住方面,美園,22:23
土日祝,福住方面,美園,22:32
土日祝,福住方面,美園,22:41
土日祝,福住方面,美園,22:51
土日祝,福住方面,美園,23:01
土日祝,福住方面,美園,23:11
土日祝,福住方面,美園,23:21
土日祝,福住方面,美園,23:31
土日祝,福住方面,美園,23:41
土日祝,福住方面,美園,23:51
土日祝,福住方面,美園,00:01
土日祝,福住方面,美園,00:11
土日祝,福住方面,美園,00:21
平日,栄町方面,美園,06:04
平日,栄町方面,美園,06:14
平日,栄町方面,美園,06:24
平日,栄町方面,美園,06:34
平日,栄町方面,美園,06:44
平日,栄町方面,美園,06:53
平日,栄町方面,美園,07:03
平日,栄町方面,美園,07:11
平日,栄町方面,美園,07:20
平日,栄町方面,美園,07:28
平日,栄町方面,美園,07:35
平日,栄町方面,美園,07:41
平日,栄町方面,美園,07:45
平日,栄町方面,美園,07:50
平日,栄町方面,美園,07:54
平日,栄町方面,美園,07:58
平日,栄町方面,美園,08:02
平日,栄町方面,美園,08:06
平日,栄町方面,美園,08:10
平日,栄町方面,美園,08:14
平日,栄町方面,美園,08:18
平日,栄町方面,美園,08:22
平日,栄町方面,美園,08:25
平日,栄町方面,美園,08:29
平日,栄町方面,美園,08:33
平日,栄町方面,美園,08:37
平日,栄町方面,美園,08:40
平日,栄町方面,美園,08:44
平日,栄町方面,美園,08:48
平日,栄町方面,美園,08:52
平日,栄町方面,美園,08:56
平日,栄町方面,美園,09:00
平日,栄町方面,美園,09:04
平日,栄町方面,美園,09:08
平日,栄町方面,美園,09:12
平日,栄町方面,美園,09:17
平日,栄町方面,美園,09:24
平日,栄町方面,美園,09:31
平日,栄町方面,美園,09:39
平日,栄町方面,美園,09:46
平日,栄町方面,美園,09:54
平日,栄町方面,美園,10:01
平日,栄町方面,美園,10:09
平日,栄町方面,美園,10:16
平日,栄町方面,美園,10:24
平日,栄町方面,美園,10:31
平日,栄町方面,美園,10:39
平日,栄町方面,美園,10:46
平日,栄町方面,美園,10:54
平日,栄町方面,美園,11:01
平日,栄町方面,美園,11:09
平日,栄町方面,美園,11:16
平日,栄町方面,美園,11:24
平日,栄町方面,美園,11:31
平日,栄町方面,美園,11:39
平日,栄町方面,美園,11:46
平日,栄町方面,美園,11:54
平日,栄町方面,美園,12:01
平日,栄町方面,美園,12:09
平日,栄町方面,美園,12:16
平日,栄町方面,美園,12:24
平日,栄町方面,美園,12:31
平日,栄町方面,美園,12:39
平日,栄町方面,美園,12:46
平日,栄町方面,美園,12:54
平日,栄町方面,美園,13:01
平日,栄町方面,美園,13:09
平日,栄町方面,美園,13:16
平日,栄町方面,美園,13:24
平日,栄町方面,美園,13:31
平日,栄町方面,美園,13:39
平日,栄町方面,美園,13:46
平日,栄町方面,美園,13:54
平日,栄町方面,美園,14:01
平日,栄町方面,美園,14:09
平日,栄町方面,美園,14:16
平日,栄町方面,美園,14:24
平日,栄町方面,美園,14:31
平日,栄町方面,美園,14:39
平日,栄町方面,美園,14:46
平日,栄町方面,美園,14:54
平日,栄町方面,美園,15:01
平日,栄町方面,美園,15:09
平日,栄町方面,美園,15:16
平日,栄町方面,美園,15:24
平日,栄町方面,美園,15:31
平日,栄町方面,美園,15:39
平日,栄町方面,美園,15:46
平日,栄町方面,美園,15:54
平日,栄町方面,美園,16:01
平日,栄町方面,美園,16:09
平日,栄町方面,美園,16:16
平日,栄町方面,美園,16:24
平日,栄町方面,美園,16:31
平日,栄町方面,美園,16:39
平日,栄町方面,美園,16:46
平日,栄町方面,美園,16:53
平日,栄町方面,美園,16:58
平日,栄町方面,美園,17:04
平日,栄町方面,美園,17:09
平日,栄町方面,美園,17:15
平日,栄町方面,美園,17:20
平日,栄町方面,美園,17:25
平日,栄町方面,美園,17:30
